runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
8.4531,85065,90285,73399,73399,16,2.2,0.979832,0,8.40068e+07,1620086,3749065,633863,1447,1.69321,LNS(PP;PP),ost003d-instances/ost003d-random-5.scen
8.16332,85065,90285,73399,73399,16,2.2,0.857053,0,8.40075e+07,1620086,3749065,633863,1447,1.51014,LNS(PP;PP),ost003d-instances/ost003d-random-5.scen
8.13681,85065,90285,73399,73399,16,2.2,0.861642,0,8.40075e+07,1620086,3749065,633863,1447,1.51393,LNS(PP;PP),ost003d-instances/ost003d-random-5.scen
8.15006,85065,90285,73399,73399,16,2.2,0.876836,0,8.40073e+07,1620086,3749065,633863,1447,1.54816,LNS(PP;PP),ost003d-instances/ost003d-random-5.scen
8.44502,85065,90285,73399,73399,16,2.2,0.914281,0,8.4008e+07,1620086,3749065,633863,1447,1.55607,LNS(PP;PP),ost003d-instances/ost003d-random-5.scen
