runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.011103,0,15911,1,15976,14511,2,7,0.00348825,0.00761475,38153,90586,5461,121,0.337974,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.010863,0,15911,1,15976,14511,2,7,0.00312129,0.00774171,38153,90586,5461,121,0.335913,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0106562,0,15911,1,15976,14511,2,7,0.00312288,0.00753333,38153,90586,5461,121,0.314029,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0100952,0,15911,1,15976,14511,2,7,0.00281287,0.00728229,38153,90586,5461,121,0.308178,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0122049,0,15911,1,15976,14511,2,7,0.00327375,0.00893117,38153,90586,5461,121,0.314681,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
