runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
10.9978,49986,52967,45937,45937,16,1.86667,0.44122,0,2.91651e+07,1718825,5585591,426056,2048,0.992825,LNS(PP;PP),ost003d-instances/ost003d-random-4.scen
10.6934,49986,52967,45937,45937,16,1.86667,0.433735,0,2.91644e+07,1718825,5585591,426056,2048,0.925276,LNS(PP;PP),ost003d-instances/ost003d-random-4.scen
10.547,49986,52967,45937,45937,16,1.86667,0.456176,0,2.91642e+07,1718825,5585591,426056,2048,0.928997,LNS(PP;PP),ost003d-instances/ost003d-random-4.scen
10.6228,49986,52967,45937,45937,16,1.86667,0.435783,0,2.91644e+07,1718825,5585591,426056,2048,0.927899,LNS(PP;PP),ost003d-instances/ost003d-random-4.scen
10.6588,49986,52967,45937,45937,16,1.86667,0.4375,0,2.91645e+07,1718825,5585591,426056,2048,0.930072,LNS(PP;PP),ost003d-instances/ost003d-random-4.scen
