runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0154385,0,17538,2,17712,16132,3,2,0.00389796,0.0190842,47019,89764,12443,118,0.331146,InitLNS(PP),ost003d-instances/ost003d-random-1.scen
0.0173333,0,17538,2,17712,16132,3,2,0.00414208,0.0216225,47019,89764,12443,118,0.337878,InitLNS(PP),ost003d-instances/ost003d-random-1.scen
