runtime,num of collisions,solution cost,initial collisions,initial solution cost,sum of distances,iterations,group size,runtime of initial solution,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
0.0553426,0,48795,6,48682,44343,3,8,0.00800533,0.2635,540063,1940766,66744,994,0.928369,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0591192,0,48795,6,48682,44343,3,8,0.00746392,0.286246,540063,1940766,66744,994,0.923373,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0642162,0,48795,6,48682,44343,3,8,0.0105346,0.301457,540063,1940766,66744,994,0.951247,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0549901,0,48795,6,48682,44343,3,8,0.00812196,0.260983,540063,1940766,66744,994,0.976131,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
0.0553251,0,48795,6,48682,44343,3,8,0.00832362,0.261681,540063,1940766,66744,994,0.921144,InitLNS(PP),ost003d-instances/ost003d-random-3.scen
