runtime,solution cost,initial solution cost,lower bound,sum of distance,iterations,group size,runtime of initial solution,restart times,area under curve,LL expanded nodes,LL generated,LL reopened,LL runs,preprocessing runtime,solver name,instance name
3.58957,53236,56429,47968,47968,16,2,0.440636,0,3.79331e+07,395289,1391181,38259,758,0.942152,LNS(PP;PP),ost003d-instances/ost003d-random-2.scen
2.69832,53236,56429,47968,47968,16,2,0.383151,0,3.79321e+07,395289,1391181,38259,758,0.930964,LNS(PP;PP),ost003d-instances/ost003d-random-2.scen
2.71325,53236,56429,47968,47968,16,2,0.381211,0,3.79321e+07,395289,1391181,38259,758,0.925256,LNS(PP;PP),ost003d-instances/ost003d-random-2.scen
2.72365,53236,56429,47968,47968,16,2,0.383731,0,3.79321e+07,395289,1391181,38259,758,0.927812,LNS(PP;PP),ost003d-instances/ost003d-random-2.scen
2.70931,53236,56429,47968,47968,16,2,0.385265,0,3.79321e+07,395289,1391181,38259,758,0.932072,LNS(PP;PP),ost003d-instances/ost003d-random-2.scen
